# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = ex3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = ex3_2.data.R
# init = 2 (Default)
# random
#   seed = 4133938453
# output
#   file = ex3_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu1,mu2,sigma
# Adaptation terminated
# Step size = 1.16254
# Diagonal elements of inverse mass matrix:
# 0.618174, 0.869076, 0.0102552
-101.968,0.300598,1.16254,2,3,0,105.616,-0.0963304,1.74713,3.60043
-102.581,0.749767,1.16254,2,3,0,105.011,0.0456863,0.0198853,6.14066
-101.29,1,1.16254,1,1,0,102.682,0.146116,0.292949,5.80615
-108.053,0.535991,1.16254,2,3,0,110.542,3.36251,-0.498004,6.61666
-101.726,1,1.16254,2,3,0,108.111,-0.575124,-1.31223,4.59672
-101.123,1,1.16254,2,3,0,102.806,1.07977,3.22547,4.72189
-99.566,1,1.16254,2,3,0,101.074,-0.0266513,2.33427,4.97398
-99.2417,0.990357,1.16254,2,3,0,100.022,1.09357,0.510669,4.60445
-100.22,0.950124,1.16254,2,3,0,100.684,-1.26328,1.27182,4.42804
-99.6803,0.538609,1.16254,2,3,0,103.133,1.46666,0.89056,4.5401
-99.307,0.916732,1.16254,2,3,0,100.781,-0.270205,2.24203,4.64007
-99.0038,0.926957,1.16254,2,3,0,99.9536,0.938931,0.85502,4.3911
-100.481,0.671342,1.16254,2,3,0,102.79,0.239743,1.85778,5.55183
-100.031,1,1.16254,2,3,0,101.238,0.102668,0.193244,3.95767
-99.7727,1,1.16254,2,3,0,100.22,-0.175238,2.11259,5.1727
-99.4884,1,1.16254,2,3,0,100.029,0.544023,-0.0851524,4.30917
-99.4238,0.923034,1.16254,2,3,0,100.456,-0.638063,1.99906,4.66597
-99.1014,0.973782,1.16254,2,3,0,100.077,-0.202129,0.395303,4.88685
-100.281,0.874116,1.16254,2,3,0,101.056,1.05502,1.28116,3.93654
-100.731,0.969476,1.16254,2,3,0,101.382,-0.64244,1.29553,5.57563
-98.7354,0.961805,1.16254,2,3,0,101.126,-0.012876,0.596225,4.70715
-99.0961,0.927648,1.16254,1,3,0,99.4446,0.758059,1.38062,4.20363
-99.042,1,1.16254,2,3,0,99.2072,-0.446692,0.876847,4.85793
-98.9002,0.961511,1.16254,2,3,0,99.661,0.732211,1.53544,4.35763
-98.7768,0.799187,1.16254,2,3,0,100.349,-0.210103,0.588814,4.50935
-99.7364,0.867646,1.16254,1,1,0,99.7556,-0.806415,0.154537,4.49035
-99.9682,0.97688,1.16254,2,3,0,100.509,0.960288,2.24078,5.09712
-100.026,0.74665,1.16254,2,3,0,102.707,-1.03836,1.18282,4.24912
-100.23,0.990591,1.16254,2,3,0,101.297,1.65744,0.962091,5.00513
-100.365,0.766807,1.16254,2,3,0,102.363,-0.99559,1.26236,5.28565
-101.103,0.908062,1.16254,2,3,0,101.216,1.24609,0.973095,3.84055
-101.509,0.976217,1.16254,2,3,0,101.874,-0.463426,1.3483,5.86574
-101.818,0.947251,1.16254,2,3,0,104.157,-1.67101,2.18171,4.44283
-99.3521,1,1.16254,2,3,0,101.689,0.215592,2.18584,4.2594
-99.923,0.94621,1.16254,2,3,0,100.368,-0.213291,-0.52792,4.75379
-101.146,0.88296,1.16254,2,3,0,102.668,1.78417,2.38894,4.51171
-100.018,1,1.16254,1,1,0,101.213,1.10184,2.40999,4.42541
-99.0023,0.934772,1.16254,2,3,0,100.87,-0.49814,0.733873,4.72843
-99.193,0.950383,1.16254,2,3,0,99.5333,1.00438,1.78401,4.54942
-100.866,0.75294,1.16254,2,3,0,101.709,-1.51955,0.433952,4.59709
-99.6377,0.982728,1.16254,2,3,0,102.089,-0.285308,1.35126,5.24784
-98.9692,0.872754,1.16254,2,3,0,100.581,0.453239,0.445768,4.86229
-102.683,0.538679,1.16254,2,3,0,103.629,-1.6794,-0.869733,5.04089
-103.54,0.987539,1.16254,2,3,0,104.743,-0.660057,-2.04595,5.2953
-100.128,0.867059,1.16254,2,3,0,103.839,-0.714755,2.33961,5.02729
-102.999,0.588906,1.16254,2,3,0,104.235,2.38664,2.60134,5.35238
-99.6903,1,1.16254,1,3,0,102.614,1.35588,1.32272,4.94333
-99.2937,0.847592,1.16254,2,3,0,100.641,-0.340857,2.12184,4.43895
-102.917,0.595343,1.16254,1,1,0,103.115,-1.03425,3.09802,4.07183
-100.776,1,1.16254,2,3,0,102.412,1.50875,0.444044,5.35419
-102.85,0.874828,1.16254,2,3,0,103.951,-1.69646,-0.589655,4.40396
-101.025,1,1.16254,1,1,0,102.578,-1.39431,-0.080258,4.94055
-99.324,1,1.16254,2,3,0,101.042,-0.685536,0.646297,4.36744
-99.3888,0.870142,1.16254,2,3,0,100.748,1.09734,1.85551,4.74341
-99.1172,0.918087,1.16254,2,3,0,100.076,-0.388422,0.913724,4.20857
-99.4389,0.972312,1.16254,2,3,0,99.753,1.21316,1.64644,4.78166
-100.222,0.838055,1.16254,2,3,0,100.69,-1.30218,0.695713,4.75363
-99.0195,0.965609,1.16254,2,3,0,100.518,0.340143,0.259175,4.82572
-99.0826,0.982908,1.16254,2,3,0,99.4403,0.270098,1.95589,4.27584
-99.3625,0.831056,1.16254,2,3,0,100.599,0.134153,0.538913,5.14094
-98.911,0.937461,1.16254,2,3,0,100.909,-0.421377,0.836022,4.73787
-98.9874,0.901066,1.16254,2,3,0,99.9301,0.115388,0.12329,4.53701
-100.72,0.612421,1.16254,2,3,0,101.295,1.28485,2.02023,5.38871
-99.24,0.889782,1.16254,2,3,0,101.823,-0.347962,0.402738,4.25738
-98.8245,1,1.16254,2,3,0,99.2922,0.48208,0.411897,4.45189
-100.491,0.787387,1.16254,2,3,0,101.122,-0.692093,2.83375,4.71363
-98.8735,1,1.16254,2,3,0,100.454,0.0223205,0.445871,4.78934
-98.8735,0.626052,1.16254,1,3,0,103.197,0.0223205,0.445871,4.78934
-99.3988,0.843516,1.16254,2,3,0,100.291,-0.239936,2.06014,4.24939
-101.026,0.492623,1.16254,2,3,0,102.772,0.205033,0.912974,5.78219
-101.226,0.949273,1.16254,2,3,0,101.837,1.01356,1.44013,3.75624
-105.847,0.411568,1.16254,2,3,0,106.453,-1.03018,-1.90973,6.34437
-99.7032,1,1.16254,2,3,0,105.058,1.0832,0.089943,4.37565
-98.535,0.998066,1.16254,1,3,0,99.5776,0.114124,1.26967,4.54585
-101.717,0.471375,1.16254,2,3,0,102.439,-0.442845,0.706716,5.92336
-99.8115,0.944689,1.16254,2,3,0,102.127,0.25851,2.28006,5.16528
-100.824,0.905295,1.16254,2,3,0,101.674,-1.26057,-0.173315,4.61666
-99.1146,0.948384,1.16254,2,3,0,101.263,0.243472,2.13149,4.77967
-99.1146,0.592636,1.16254,2,3,0,102.244,0.243472,2.13149,4.77967
-99.6921,0.97138,1.16254,2,3,0,99.7468,0.435175,2.38154,5.02956
-100.406,0.921689,1.16254,1,1,0,100.584,0.585741,2.20694,5.4197
-99.854,1,1.16254,2,3,0,100.517,0.569507,0.323046,3.99516
-99.1613,1,1.16254,2,3,0,99.7536,-0.137443,1.89641,4.91511
-100.598,0.800679,1.16254,2,3,0,101.253,0.0214742,-0.934498,4.95212
-100.592,0.890186,1.16254,2,3,0,101.911,0.384833,2.51986,4.0065
-98.5837,1,1.16254,1,3,0,100.209,0.336187,0.761778,4.56437
-99.0022,0.817024,1.16254,2,3,0,100.096,-0.530514,1.42921,4.44848
-99.0022,0.505929,1.16254,1,1,0,103.347,-0.530514,1.42921,4.44848
-98.6476,0.778025,1.16254,2,3,0,100.12,0.587623,0.92989,4.45735
